id_cliente,nombre,edad,ciudad,ingresos,city_normal
106,Kizzie Carloni,37,Bahía Blanca,38639.35,Bahia Blanca
107,Ellen Cadge,38,Bahía Blanca,23557.54,Bahia Blanca
108,Branden Mabe,25,Mar del Plata,23295.13,Mar del Plata
109,Connor Frango,46,Buenos Aires,47539.84,Buenos Aires
110,Stephie MacKeig,28,Mar del Plata,25378.01,Mar del Plata
111,Sherrie Gregoratti,39,Mar del Plata,50329.71,Mar del Plata
112,Wildon Newsham,26,Posadas,37853.92,Posadas
113,Genevieve Vasler,42,Corrientes,33190.45,Corrientes
114,Theodosia Merryweather,50,Rosario,44847.82,Rosario
115,Diandra Longcake,65,Corrientes,45292.27,Corrientes
116,Gabrielle Napolitano,29,Merlo,39892.04,Merlo
117,Rina Pethick,36,Posadas,28312.38,Posadas
118,Brigitte Houlden,53,San Miguel de Tucumán,30953.38,San Miguel de Tucuman
119,Lucien Douris,39,Merlo,41134.58,Merlo
120,Pollyanna Whittlesey,47,Salta,19878.28,Salta
121,Pernell Paffley,26,Rosario,55701.93,Rosario
122,Sebastiano Salla,25,Salta,58142.4,Salta
123,Mattie Humpherston,35,San Miguel de Tucumán,23801.33,San Miguel de Tucuman
124,Bebe Esilmon,29,Bahía Blanca,17134.31,Bahia Blanca
125,Bennie O'Regan,40,Resistencia,60645.26,Resistencia
126,Drusy Grgic,48,Buenos Aires,36611.51,Buenos Aires
127,Anatole Bahde,48,Córdoba,38860.1,Cordoba
128,Lacie Cline,81,Salta,16595.3,Salta
129,Dave Bosson,36,Bahía Blanca,38074.11,Bahia Blanca
130,Lynne Linkie,42,Rosario,27663.59,Rosario
131,Brittan Caughte,28,Posadas,17294.42,Posadas
132,Trstram Troughton,43,Córdoba,57931.42,Cordoba
133,Arleta Pennigar,36,Córdoba,49554.51,Cordoba
134,Florida Ruter,31,Salta,36251.4,Salta
135,Giffer Hinstock,28,Córdoba,31190.27,Cordoba
136,Bern Tregian,32,San Miguel de Tucumán,31384.95,San Miguel de Tucuman
137,Devi Goalley,29,Merlo,34610.42,Merlo
138,Melany Janiak,39,Resistencia,26757.8,Resistencia
139,Risa Playhill,43,Posadas,34357.86,Posadas
140,Joye Costley,24,Merlo,55323.78,Merlo
141,Scot Graben,54,Rosario,29351.15,Rosario
142,Rodrigo Dooland,30,Corrientes,29492.94,Corrientes
143,Doug Provost,25,Mar del Plata,29935.39,Mar del Plata
144,Elyn Hiorn,39,Santa Fe,14548.46,Santa Fe
145,Sara Riby,48,Salta,17874.07,Salta
146,Jameson Riccione,37,Buenos Aires,16306.0,Buenos Aires
147,Duke Tonner,52,Posadas,18170.77,Posadas
148,Brigid Ickowicz,32,Buenos Aires,48338.08,Buenos Aires
149,Allissa Napleton,50,Corrientes,34753.74,Corrientes
150,Jaclyn Crepin,56,Corrientes,23760.91,Corrientes
151,Hedwiga Spanton,52,Mar del Plata,33508.69,Mar del Plata
152,Humberto Kanzler,27,Salta,28131.39,Salta
153,Orton Minkin,29,Buenos Aires,46031.85,Buenos Aires
154,My de'-Ancy Willis,43,Rosario,33105.01,Rosario
155,Dosi Groger,30,Córdoba,56809.04,Cordoba
156,Walden Kordt,47,Resistencia,60647.99,Resistencia
157,Westbrook O'Caherny,25,Santa Fe,29982.55,Santa Fe
158,Electra Shilston,35,Posadas,786.77,Posadas
159,Fabian Chancelier,46,Rosario,37220.19,Rosario
160,Holly-anne Whymark,43,Mar del Plata,30588.42,Mar del Plata
161,Francis Killby,37,Corrientes,35931.21,Corrientes
162,Romeo Harbar,24,Santa Fe,37492.73,Santa Fe
163,Teddie Massimo,44,Santa Fe,42297.5,Santa Fe
164,Sheffie Ford,27,Posadas,45087.63,Posadas
165,Ilise Manjin,24,Córdoba,41323.69,Cordoba
166,Barry Ramsby,35,Posadas,35156.97,Posadas
167,Emilie Alforde,32,Merlo,28734.62,Merlo
168,Rosetta Kennifick,30,Mar del Plata,29631.15,Mar del Plata
169,Morey Brundell,43,Posadas,36611.51,Posadas
170,Ogdon Swadlinge,35,Mar del Plata,16313.81,Mar del Plata
171,Maegan Trillo,62,Mar del Plata,42590.61,Mar del Plata
172,Bent Isenor,28,Santa Fe,74147.65,Santa Fe
173,Elton Aloigi,43,Mar del Plata,27861.85,Mar del Plata
174,Nelli Yanshonok,45,Merlo,33626.6,Merlo
175,Judy Gerred,24,Corrientes,58465.86,Corrientes
176,Cosette Baggaley,39,Merlo,27080.31,Merlo
177,Fransisco Lillo,28,Corrientes,35011.85,Corrientes
178,Helenka Costin,75,Mar del Plata,48611.93,Mar del Plata
179,Orville Yerby,29,Salta,33637.48,Salta
180,Terencio Tyas,44,Mar del Plata,51421.58,Mar del Plata
181,Celestyna Buddock,45,Santa Fe,21200.95,Santa Fe
182,Baldwin Drieu,39,Salta,23533.08,Salta
183,Marylinda Gianasi,25,Mar del Plata,37832.38,Mar del Plata
184,Cello Bentjens,31,Bahía Blanca,40253.67,Bahia Blanca
185,Addy Lattos,46,Córdoba,41370.58,Cordoba
186,Toddie Renals,58,San Miguel de Tucumán,49518.43,San Miguel de Tucuman
187,Franni Whitlaw,29,Posadas,30400.08,Posadas
188,D'arcy Creak,42,Buenos Aires,36868.84,Buenos Aires
189,Kay Dradey,43,Córdoba,34537.66,Cordoba
190,Drugi Doumenc,42,Salta,46756.36,Salta
191,Gilberte Kivell,55,Mar del Plata,39719.87,Mar del Plata
192,Shoshanna Verryan,40,Resistencia,6619.38,Resistencia
193,Gonzales Fiddeman,32,Córdoba,18074.87,Cordoba
194,Izzy Lakeland,26,San Miguel de Tucumán,21054.29,San Miguel de Tucuman
195,Brod Spuffard,45,Córdoba,15474.79,Cordoba
196,Jocko Quickfall,41,San Miguel de Tucumán,25257.65,San Miguel de Tucuman
197,Glenna Knibley,20,Salta,47432.89,Salta
198,Juliann Keiling,62,Santa Fe,60620.67,Santa Fe
199,Orin Frearson,43,Merlo,16807.7,Merlo
200,Othelia Simonaitis,30,Merlo,43723.37,Merlo
201,Elset Simko,38,Santa Fe,35096.15,Santa Fe
202,Denis Toping,43,Corrientes,36725.7,Corrientes
203,Si Tune,37,Córdoba,36855.07,Cordoba
204,Leroi Weems,32,Rosario,59022.15,Rosario
205,Wallace Tweedie,29,Mar del Plata,46053.49,Mar del Plata
206,Olin Pauluzzi,29,Santa Fe,30001.7,Santa Fe
207,Lissi Simondson,48,Rosario,39751.41,Rosario
208,Sherwin Cossell,40,Rosario,40700.9,Rosario
209,Ephrayim Owens,42,Córdoba,15715.84,Cordoba
210,Stephi Ties,38,Bahía Blanca,39717.6,Bahia Blanca
211,Willow Partrick,29,Córdoba,34691.89,Cordoba
212,Samuel Kornilov,38,Posadas,40651.74,Posadas
213,Henrie Crassweller,38,Buenos Aires,44275.95,Buenos Aires
214,Johan Grimston,30,Mar del Plata,41939.22,Mar del Plata
215,Dinnie Robertelli,71,Merlo,9002.64,Merlo
216,Elinore Le Leu,50,Mar del Plata,48865.2,Mar del Plata
217,Ethelred Speakman,33,Mar del Plata,42323.59,Mar del Plata
218,Hamnet Maberley,38,Posadas,21309.97,Posadas
219,Raquel Gentile,43,Buenos Aires,32492.98,Buenos Aires
220,Bruce Hinstock,71,Resistencia,25720.15,Resistencia
221,Michale Rustidge,42,Santa Fe,35596.27,Santa Fe
222,Bary Tanner,37,Córdoba,37626.61,Cordoba
223,Poppy Dachs,20,Salta,15907.15,Salta
224,Dudley Stallworth,33,Buenos Aires,20196.84,Buenos Aires
225,Claresta Ateggart,37,Buenos Aires,36097.06,Buenos Aires
226,Christiana Iglesias,40,Rosario,28337.74,Rosario
227,Carlene Peek,40,Merlo,48526.08,Merlo
228,Janette Wakeford,27,Córdoba,27749.95,Cordoba
229,Moritz Wyke,32,Posadas,37113.41,Posadas
230,Evvie Ravens,45,Posadas,35552.3,Posadas
231,Hedvig Jirick,33,Resistencia,20628.14,Resistencia
232,Bartholomeus Rigge,41,Resistencia,37030.07,Resistencia
233,Gib Menicomb,45,Mar del Plata,23120.84,Mar del Plata
234,Enrico Ahrend,42,Buenos Aires,40569.56,Buenos Aires
235,Rancell Voaden,37,Resistencia,59088.93,Resistencia
236,Dal Tenpenny,50,San Miguel de Tucumán,56600.2,San Miguel de Tucuman
237,Erinn Crotty,41,Mar del Plata,20822.35,Mar del Plata
238,Alexandra Stapley,29,Salta,20319.72,Salta
239,Rosanne Castro,44,Merlo,46222.48,Merlo
240,Aubrette Maceur,34,Salta,34865.33,Salta
241,Glenine Carette,28,Resistencia,31591.9,Resistencia
242,Bellina Bathow,31,Mar del Plata,30899.12,Mar del Plata
243,Alvis Malcolmson,50,Mar del Plata,31204.77,Mar del Plata
244,Jenn McKendry,48,Posadas,39426.13,Posadas
245,Deane Tesche,22,Resistencia,29609.0,Resistencia
246,Aldous Stivers,33,Posadas,32325.65,Posadas
247,Shaw Dell'Abbate,33,Posadas,41806.83,Posadas
248,Gianna Benoey,38,Merlo,23099.84,Merlo
249,Charlie Knipe,25,Buenos Aires,28168.54,Buenos Aires
250,Danita Bensley,43,Salta,28001.09,Salta
251,Giustina Mingauld,39,Resistencia,19572.3,Resistencia
252,Tammi Deeble,31,Buenos Aires,39860.79,Buenos Aires
253,Hersh McParlin,38,Bahía Blanca,18643.61,Bahia Blanca
254,Daphene Torn,28,Mar del Plata,40483.88,Mar del Plata
255,Marja Barrass,43,Mar del Plata,14200.5,Mar del Plata
256,Melisande Yuill,30,Buenos Aires,42321.52,Buenos Aires
257,Sancho St Leger,38,Resistencia,52163.62,Resistencia
258,Doroteya Rudram,38,Bahía Blanca,37660.87,Bahia Blanca
259,Solomon McFarlane,65,Merlo,31113.95,Merlo
260,Elvira Trewhitt,48,Córdoba,37924.44,Cordoba
261,Carling Waldocke,50,Mar del Plata,21325.9,Mar del Plata
262,Rosaline Demicoli,31,Posadas,40016.46,Posadas
263,Devin Just,23,Rosario,25168.5,Rosario
264,Bartholomeus Hanvey,34,Salta,19784.39,Salta
265,Hanny Ocheltree,52,Corrientes,65107.47,Corrientes
266,Herminia Auguste,22,Corrientes,48179.69,Corrientes
267,Trenna De Metz,33,Mar del Plata,15026.75,Mar del Plata
268,Erin Cornilleau,41,Rosario,33938.59,Rosario
269,Carilyn O'Mailey,52,Bahía Blanca,3603.65,Bahia Blanca
270,Goldia Bonas,29,Mar del Plata,32318.9,Mar del Plata
271,Raoul Denerley,40,Salta,66400.67,Salta
272,Emmet Amoss,34,Merlo,44818.31,Merlo
273,Ber Hawick,26,Santa Fe,27346.23,Santa Fe
274,Ciel Paris,37,Posadas,31930.56,Posadas
275,Paolina Francescuzzi,36,Córdoba,50639.49,Cordoba
276,Louisette Coleford,42,Salta,17819.28,Salta
277,Tommy Top,38,Córdoba,6221.17,Cordoba
278,Elbert Bottomore,27,San Miguel de Tucumán,58569.24,San Miguel de Tucuman
279,Ody Garlinge,35,Córdoba,19067.63,Cordoba
280,Case Seefus,28,Merlo,35486.9,Merlo
281,Stanly Wabb,34,Bahía Blanca,33577.33,Bahia Blanca
282,Sioux Malletratt,31,Rosario,47628.64,Rosario
283,Baillie Lyttle,48,Buenos Aires,28316.16,Buenos Aires
284,Joanie Backler,69,Santa Fe,51581.12,Santa Fe
285,Basil Hambatch,40,Bahía Blanca,30186.3,Bahia Blanca
286,Mame Martinovic,37,Resistencia,24903.17,Resistencia
287,Phillipp Nazareth,46,Resistencia,25588.66,Resistencia
288,Tonie Cattell,34,Santa Fe,53238.48,Santa Fe
289,Rene Knowlden,40,Merlo,227.66,Merlo
290,Em Conyard,33,Mar del Plata,58953.48,Mar del Plata
291,Marie-jeanne Johnson,28,Santa Fe,42821.99,Santa Fe
292,Carmelle Halworth,26,Mar del Plata,53221.65,Mar del Plata
293,Trixy Lillicrap,38,Córdoba,28791.54,Cordoba
294,Ninetta Banger,43,Santa Fe,40073.38,Santa Fe
295,Bette-ann Bertholin,40,Bahía Blanca,35319.17,Bahia Blanca
296,Roanna Hulls,28,Salta,25078.01,Salta
297,Pamella Izat,26,Bahía Blanca,26676.08,Bahia Blanca
298,Rivalee Jaqueme,33,Santa Fe,24080.5,Santa Fe
299,Clarke Fotitt,48,Resistencia,39212.84,Resistencia
300,Ray Schapero,43,Merlo,52185.96,Merlo
301,Remy Rushmer,28,Corrientes,9043.39,Corrientes
302,Olia Tisun,25,Buenos Aires,25020.98,Buenos Aires
303,Felice Piolli,22,Mar del Plata,26843.23,Mar del Plata
304,Britney Fontaine,37,Bahía Blanca,24551.86,Bahia Blanca
305,Etan Meron,58,Bahía Blanca,20780.9,Bahia Blanca
306,Jesse Hain,40,Bahía Blanca,54468.69,Bahia Blanca
307,Federica Bamborough,53,Bahía Blanca,47428.86,Bahia Blanca
308,Chiarra Cowx,44,Corrientes,41888.56,Corrientes
309,Frieda Sappell,42,San Miguel de Tucumán,37477.47,San Miguel de Tucuman
310,Vinson Hegley,42,Mar del Plata,22349.28,Mar del Plata
311,Cristy Pagett,36,Rosario,36862.8,Rosario
312,Marcella Gravett,31,San Miguel de Tucumán,20201.52,San Miguel de Tucuman
313,Francklyn Clutheram,41,Bahía Blanca,16654.82,Bahia Blanca
314,Rayner Rumbelow,35,Buenos Aires,53542.72,Buenos Aires
315,Saudra Braitling,33,Corrientes,38366.67,Corrientes
316,Terrijo Downton,43,Resistencia,39241.97,Resistencia
317,Chere Gaudon,40,Resistencia,33321.22,Resistencia
318,Verine Jentin,64,Bahía Blanca,28484.33,Bahia Blanca
319,Donovan Tift,55,Resistencia,9985.66,Resistencia
320,Clementia Ordelt,41,Rosario,40725.01,Rosario
321,Codi Ruddiforth,29,Corrientes,30044.88,Corrientes
322,Zacharia Harkin,51,Mar del Plata,44005.74,Mar del Plata
323,Berenice Tummons,40,Posadas,16728.82,Posadas
324,Doug Sandaver,29,Salta,22568.9,Salta
325,Carla Dillestone,63,Córdoba,39341.98,Cordoba
326,Martino Taudevin,41,Mar del Plata,24359.92,Mar del Plata
327,Birk Van der Beek,27,Bahía Blanca,18844.27,Bahia Blanca
328,Ailina Martelet,29,San Miguel de Tucumán,7533.36,San Miguel de Tucuman
329,Jarid Davidovici,36,Resistencia,88053.01,Resistencia
330,Osborne Broggetti,31,Buenos Aires,16922.48,Buenos Aires
331,Lutero Climie,45,Corrientes,26187.05,Corrientes
332,Flory Sherewood,24,Santa Fe,52451.13,Santa Fe
333,Steffi Copestake,44,Resistencia,37159.71,Resistencia
334,Adrianna Fenby,43,Buenos Aires,15105.29,Buenos Aires
335,Fin Arthan,25,Merlo,41383.85,Merlo
336,Jaymie Halsey,32,Córdoba,28658.31,Cordoba
337,Alphonso Adshed,29,Salta,43663.51,Salta
338,Annmarie Mont,55,San Miguel de Tucumán,32529.31,San Miguel de Tucuman
339,Reinwald Bown,64,Resistencia,26651.19,Resistencia
340,Dody Caselli,47,Mar del Plata,43830.34,Mar del Plata
341,Karena Athy,31,Santa Fe,8996.96,Santa Fe
342,Karin Scarff,40,Merlo,42159.96,Merlo
343,Lon Tysack,51,Salta,47919.67,Salta
344,Lucais Brameld,39,Mar del Plata,56239.02,Mar del Plata
345,Catina Lorence,38,Salta,28982.88,Salta
346,Orrin Kinglesyd,54,Merlo,49498.6,Merlo
347,Dru Beeken,48,Rosario,29831.4,Rosario
348,Wilhelm Murfin,44,Resistencia,39024.45,Resistencia
349,Billye Searchfield,34,Rosario,36408.87,Rosario
350,Abbey Vanichkin,47,Rosario,36401.85,Rosario
351,Kitti Earey,53,Rosario,34873.86,Rosario
352,Cecilio Fernan,23,Buenos Aires,35319.17,Buenos Aires
353,Camey Cloy,54,Rosario,27324.28,Rosario
354,Giacinta Coley,37,Santa Fe,23017.41,Santa Fe
355,Kimmi Kensall,29,Rosario,54622.04,Rosario
356,Arlena Tipperton,34,Bahía Blanca,22999.56,Bahia Blanca
357,Blondie Dmytryk,31,Salta,45394.05,Salta
358,Hardy Stappard,46,Posadas,54108.91,Posadas
359,Dalis Bathurst,42,Rosario,9040.32,Rosario
360,Elton Ormrod,44,San Miguel de Tucumán,24152.9,San Miguel de Tucuman
361,Lynde MacCart,36,Mar del Plata,5552.45,Mar del Plata
362,Albrecht Itchingham,50,Posadas,48947.49,Posadas
363,Briney Fishbourne,22,Salta,35248.26,Salta
364,Kaycee Ethridge,57,Rosario,32871.79,Rosario
365,Ellwood Nancekivell,38,Posadas,36909.15,Posadas
366,Paige Matterface,41,San Miguel de Tucumán,40435.69,San Miguel de Tucuman
367,Care Mahomet,39,Corrientes,26352.3,Corrientes
368,La verne Golsthorp,40,Córdoba,55682.22,Cordoba
369,Micheline Tinsley,26,San Miguel de Tucumán,30003.34,San Miguel de Tucuman
370,Jorey Knappett,38,Mar del Plata,14243.87,Mar del Plata
371,Yoshi Baysting,29,Bahía Blanca,25726.65,Bahia Blanca
372,Denys Drewery,41,Resistencia,26820.9,Resistencia
373,Piotr Jirousek,27,Merlo,66953.76,Merlo
374,Inez Munsey,52,Mar del Plata,30633.53,Mar del Plata
375,Torey Lampen,64,Santa Fe,20413.35,Santa Fe
376,Marrilee Siley,32,Resistencia,45012.61,Resistencia
377,Iorgo Petken,36,Buenos Aires,44562.82,Buenos Aires
378,Roxine Doogue,36,Córdoba,62421.04,Cordoba
379,Rayner Croom,37,Buenos Aires,29806.61,Buenos Aires
380,Lanette Frogley,24,Posadas,30320.51,Posadas
381,Hartwell Balharrie,43,Resistencia,26112.9,Resistencia
382,Ola Blethin,47,Corrientes,35159.67,Corrientes
383,Terrel Chainey,35,Posadas,17542.93,Posadas
384,Saloma Leyban,29,Mar del Plata,21769.49,Mar del Plata
385,Saxe de Glanville,37,San Miguel de Tucumán,51177.03,San Miguel de Tucuman
386,Burt Meindl,38,Merlo,35262.5,Merlo
387,Martina Thresher,39,Salta,44607.99,Salta
388,Paulina Korneichik,33,Merlo,35744.85,Merlo
389,Dollie Hencke,43,Mar del Plata,46506.19,Mar del Plata
390,Shay Woolager,23,Merlo,22397.82,Merlo
391,Arline Rides,36,Córdoba,21944.45,Cordoba
392,Kelbee Eickhoff,35,Corrientes,31057.96,Corrientes
393,Ingar Vasyunichev,29,Posadas,35186.26,Posadas
394,Roderic Vesco,38,San Miguel de Tucumán,35931.21,San Miguel de Tucuman
395,Phelia Overell,29,Rosario,22061.84,Rosario
396,Guendolen Lindbergh,33,Córdoba,49568.4,Cordoba
397,Carlene Malt,20,Posadas,58831.76,Posadas
398,Ulrich Misk,30,Rosario,34550.41,Rosario
399,Chandler McCreery,27,Santa Fe,46112.12,Santa Fe
400,Reinold Fernely,52,Bahía Blanca,59316.35,Bahia Blanca
401,Eamon Vischi,41,Posadas,38021.87,Posadas
402,Husein Dies,42,Rosario,42243.51,Rosario
403,Beverley Korfmann,54,Córdoba,20221.87,Cordoba
404,Ab Wilsher,42,Resistencia,29723.13,Resistencia
405,Timothea MacNucator,39,Resistencia,34610.4,Resistencia
406,Frederica Simo,35,Rosario,49802.37,Rosario
407,Jonathan Shitliffe,42,Salta,14602.19,Salta
408,Michele Mattiessen,43,Salta,30235.29,Salta
409,Cosimo Bysh,72,Santa Fe,17159.76,Santa Fe
410,Tandie Kringe,43,Posadas,53789.98,Posadas
411,Carley Tedder,34,Resistencia,35908.76,Resistencia
412,Ebony Limbrick,46,Córdoba,31613.25,Cordoba
413,Zebedee Parncutt,36,San Miguel de Tucumán,28969.85,San Miguel de Tucuman
414,Corrianne Hellyer,40,Rosario,43852.18,Rosario
415,Cordey Ingles,42,Posadas,30858.3,Posadas
416,Chiquia Olsson,53,Santa Fe,39016.06,Santa Fe
417,Arlie Falkinder,24,Córdoba,36855.07,Cordoba
418,Melita Watson-Brown,27,San Miguel de Tucumán,22533.03,San Miguel de Tucuman
419,Benny Oboy,34,Bahía Blanca,23750.41,Bahia Blanca
420,Carmelia Levermore,28,Rosario,36003.94,Rosario
421,Mitchell Danielian,39,Santa Fe,65036.72,Santa Fe
422,Laetitia Summers,43,Santa Fe,14123.28,Santa Fe
423,Dame Nund,33,Córdoba,42025.33,Cordoba
424,Spencer Lorkin,55,Rosario,35908.76,Rosario
425,Stella Kemish,26,Bahía Blanca,24821.3,Bahia Blanca
426,Avery Brimming,33,Bahía Blanca,29401.91,Bahia Blanca
427,Guillemette Peppett,29,Merlo,33685.06,Merlo
428,Jessee Birmingham,40,Resistencia,27450.93,Resistencia
429,Haskell Yantsurev,52,San Miguel de Tucumán,26137.54,San Miguel de Tucuman
430,Putnam Sayse,23,Salta,39816.51,Salta
431,Antonella Stollwerk,36,Resistencia,34947.57,Resistencia
432,Ramonda Caillou,50,Mar del Plata,28657.37,Mar del Plata
433,Lavinie Deverille,38,Mar del Plata,33271.79,Mar del Plata
434,Sadie Semble,65,Merlo,38093.36,Merlo
435,Francklin Drayson,59,Santa Fe,29155.48,Santa Fe
436,Rois Reddell,43,Buenos Aires,42603.71,Buenos Aires
437,Shelia Alenshev,43,Santa Fe,13603.06,Santa Fe
438,Ardenia Fountian,37,Corrientes,44799.89,Corrientes
439,Chadwick Maplethorpe,25,Santa Fe,40515.98,Santa Fe
440,Sanders Newbery,41,Corrientes,46472.8,Corrientes
441,Pedro Domico,24,Mar del Plata,4087.74,Mar del Plata
442,Basile Huckle,37,Resistencia,40917.76,Resistencia
443,Ulberto Grevile,24,Rosario,28573.15,Rosario
